yearend,locationabbr,locationdesc,sex,stratification1,grade,question,data_value
2003,AZ,Arizona,,9th,9th,Percent of students in grades 9-12 who have obesity,12.9
2003,AZ,Arizona,,10th,10th,Percent of students in grades 9-12 who have obesity,10.6
2003,AZ,Arizona,,11th,11th,Percent of students in grades 9-12 who have obesity,11.3
2003,AZ,Arizona,,12th,12th,Percent of students in grades 9-12 who have obesity,8.6
2003,AZ,Arizona,Male,Male,,Percent of students in grades 9-12 who have obesity,15.8
2003,AZ,Arizona,,Total,,Percent of students in grades 9-12 who have obesity,11.1
2003,AZ,Arizona,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,AZ,Arizona,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,AZ,Arizona,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,14.9
2003,AZ,Arizona,,Hispanic,,Percent of students in grades 9-12 who have obesity,16.2
2003,AZ,Arizona,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,AZ,Arizona,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,13.3
2003,AZ,Arizona,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,8.1
2003,CA,California,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,CA,California,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Total,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,CA,California,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Total,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,CO,Colorado,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Total,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,CT,Connecticut,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,DC,District of Columbia,Female,Female,,Percent of students in grades 9-12 who have obesity,11.2
2003,DC,District of Columbia,,9th,9th,Percent of students in grades 9-12 who have obesity,15.2
2003,DC,District of Columbia,,10th,10th,Percent of students in grades 9-12 who have obesity,14.2
2003,DC,District of Columbia,,11th,11th,Percent of students in grades 9-12 who have obesity,9.1
2003,DC,District of Columbia,,12th,12th,Percent of students in grades 9-12 who have obesity,13.7
2003,DC,District of Columbia,Male,Male,,Percent of students in grades 9-12 who have obesity,15.4
2003,DC,District of Columbia,,Total,,Percent of students in grades 9-12 who have obesity,13.3
2003,DC,District of Columbia,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,DC,District of Columbia,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,DC,District of Columbia,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,13.1
2003,DC,District of Columbia,,Hispanic,,Percent of students in grades 9-12 who have obesity,15.4
2003,DC,District of Columbia,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,DC,District of Columbia,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,DC,District of Columbia,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,DE,Delaware,Female,Female,,Percent of students in grades 9-12 who have obesity,9.4
2003,DE,Delaware,,9th,9th,Percent of students in grades 9-12 who have obesity,14.5
2003,DE,Delaware,,10th,10th,Percent of students in grades 9-12 who have obesity,15.8
2003,DE,Delaware,,11th,11th,Percent of students in grades 9-12 who have obesity,11.3
2003,DE,Delaware,,12th,12th,Percent of students in grades 9-12 who have obesity,10.5
2003,DE,Delaware,Male,Male,,Percent of students in grades 9-12 who have obesity,17.0
2003,DE,Delaware,,Total,,Percent of students in grades 9-12 who have obesity,13.3
2003,DE,Delaware,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,DE,Delaware,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,DE,Delaware,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,14.5
2003,DE,Delaware,,Hispanic,,Percent of students in grades 9-12 who have obesity,16.3
2003,DE,Delaware,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,DE,Delaware,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,DE,Delaware,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,12.7
2003,FL,Florida,Female,Female,,Percent of students in grades 9-12 who have obesity,7.7
2003,FL,Florida,,9th,9th,Percent of students in grades 9-12 who have obesity,12.1
2003,FL,Florida,,10th,10th,Percent of students in grades 9-12 who have obesity,11.4
2003,FL,Florida,,11th,11th,Percent of students in grades 9-12 who have obesity,13.5
2003,FL,Florida,,12th,12th,Percent of students in grades 9-12 who have obesity,11.6
2003,FL,Florida,Male,Male,,Percent of students in grades 9-12 who have obesity,16.4
2003,FL,Florida,,Total,,Percent of students in grades 9-12 who have obesity,12.1
2003,FL,Florida,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,FL,Florida,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,FL,Florida,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,14.2
2003,FL,Florida,,Hispanic,,Percent of students in grades 9-12 who have obesity,10.8
2003,FL,Florida,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,FL,Florida,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,FL,Florida,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,11.8
2003,GA,Georgia,Female,Female,,Percent of students in grades 9-12 who have obesity,6.6
2003,GA,Georgia,,9th,9th,Percent of students in grades 9-12 who have obesity,10.9
2003,GA,Georgia,,10th,10th,Percent of students in grades 9-12 who have obesity,10.2
2003,GA,Georgia,,11th,11th,Percent of students in grades 9-12 who have obesity,10.7
2003,GA,Georgia,,12th,12th,Percent of students in grades 9-12 who have obesity,12.6
2003,GA,Georgia,Male,Male,,Percent of students in grades 9-12 who have obesity,15.4
2003,GA,Georgia,,Total,,Percent of students in grades 9-12 who have obesity,11.0
2003,GA,Georgia,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,GA,Georgia,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,GA,Georgia,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,14.2
2003,GA,Georgia,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,GA,Georgia,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,GA,Georgia,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,GA,Georgia,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,8.7
2003,GU,Guam,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Total,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,GU,Guam,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Total,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,HI,Hawaii,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Total,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,IA,Iowa,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,Female,Female,,Percent of students in grades 9-12 who have obesity,6.0
2003,ID,Idaho,,9th,9th,Percent of students in grades 9-12 who have obesity,6.4
2003,ID,Idaho,,10th,10th,Percent of students in grades 9-12 who have obesity,8.8
2003,ID,Idaho,,11th,11th,Percent of students in grades 9-12 who have obesity,5.7
2003,ID,Idaho,,12th,12th,Percent of students in grades 9-12 who have obesity,8.5
2003,ID,Idaho,Male,Male,,Percent of students in grades 9-12 who have obesity,8.6
2003,ID,Idaho,,Total,,Percent of students in grades 9-12 who have obesity,7.4
2003,ID,Idaho,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,,Hispanic,,Percent of students in grades 9-12 who have obesity,16.6
2003,ID,Idaho,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,ID,Idaho,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,6.6
2003,IL,Illinois,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Total,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,IL,Illinois,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,Female,Female,,Percent of students in grades 9-12 who have obesity,8.7
2003,IN,Indiana,,9th,9th,Percent of students in grades 9-12 who have obesity,12.1
2003,IN,Indiana,,10th,10th,Percent of students in grades 9-12 who have obesity,11.0
2003,IN,Indiana,,11th,11th,Percent of students in grades 9-12 who have obesity,12.2
2003,IN,Indiana,,12th,12th,Percent of students in grades 9-12 who have obesity,9.0
2003,IN,Indiana,Male,Male,,Percent of students in grades 9-12 who have obesity,13.9
2003,IN,Indiana,,Total,,Percent of students in grades 9-12 who have obesity,11.3
2003,IN,Indiana,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,17.5
2003,IN,Indiana,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,IN,Indiana,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.2
2003,KS,Kansas,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Total,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,KS,Kansas,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,Female,Female,,Percent of students in grades 9-12 who have obesity,9.3
2003,KY,Kentucky,,9th,9th,Percent of students in grades 9-12 who have obesity,19.2
2003,KY,Kentucky,,10th,10th,Percent of students in grades 9-12 who have obesity,15.1
2003,KY,Kentucky,,11th,11th,Percent of students in grades 9-12 who have obesity,10.8
2003,KY,Kentucky,,12th,12th,Percent of students in grades 9-12 who have obesity,11.8
2003,KY,Kentucky,Male,Male,,Percent of students in grades 9-12 who have obesity,19.4
2003,KY,Kentucky,,Total,,Percent of students in grades 9-12 who have obesity,14.5
2003,KY,Kentucky,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,KY,Kentucky,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,14.2
2003,LA,Louisiana,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Total,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,LA,Louisiana,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,MA,Massachusetts,Female,Female,,Percent of students in grades 9-12 who have obesity,6.5
2003,MA,Massachusetts,,9th,9th,Percent of students in grades 9-12 who have obesity,9.5
2003,MA,Massachusetts,,10th,10th,Percent of students in grades 9-12 who have obesity,10.8
2003,MA,Massachusetts,,11th,11th,Percent of students in grades 9-12 who have obesity,10.5
2003,MA,Massachusetts,,12th,12th,Percent of students in grades 9-12 who have obesity,7.9
2003,MA,Massachusetts,Male,Male,,Percent of students in grades 9-12 who have obesity,12.9
2003,MA,Massachusetts,,Total,,Percent of students in grades 9-12 who have obesity,9.8
2003,MA,Massachusetts,,2 or more races,,Percent of students in grades 9-12 who have obesity,12.7
2003,MA,Massachusetts,,Asian,,Percent of students in grades 9-12 who have obesity,4.1
2003,MA,Massachusetts,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,13.3
2003,MA,Massachusetts,,Hispanic,,Percent of students in grades 9-12 who have obesity,12.4
2003,MA,Massachusetts,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,MA,Massachusetts,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,MA,Massachusetts,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,9.1
2003,MD,Maryland,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Total,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,MD,Maryland,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,Female,Female,,Percent of students in grades 9-12 who have obesity,7.5
2003,ME,Maine,,9th,9th,Percent of students in grades 9-12 who have obesity,14.5
2003,ME,Maine,,10th,10th,Percent of students in grades 9-12 who have obesity,13.8
2003,ME,Maine,,11th,11th,Percent of students in grades 9-12 who have obesity,13.9
2003,ME,Maine,,12th,12th,Percent of students in grades 9-12 who have obesity,8.0
2003,ME,Maine,Male,Male,,Percent of students in grades 9-12 who have obesity,17.6
2003,ME,Maine,,Total,,Percent of students in grades 9-12 who have obesity,12.7
2003,ME,Maine,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,ME,Maine,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,12.8
2003,MI,Michigan,Female,Female,,Percent of students in grades 9-12 who have obesity,8.7
2003,MI,Michigan,,9th,9th,Percent of students in grades 9-12 who have obesity,12.6
2003,MI,Michigan,,10th,10th,Percent of students in grades 9-12 who have obesity,12.7
2003,MI,Michigan,,11th,11th,Percent of students in grades 9-12 who have obesity,11.4
2003,MI,Michigan,,12th,12th,Percent of students in grades 9-12 who have obesity,11.9
2003,MI,Michigan,Male,Male,,Percent of students in grades 9-12 who have obesity,15.7
2003,MI,Michigan,,Total,,Percent of students in grades 9-12 who have obesity,12.3
2003,MI,Michigan,,2 or more races,,Percent of students in grades 9-12 who have obesity,15.6
2003,MI,Michigan,,Asian,,Percent of students in grades 9-12 who have obesity,7.6
2003,MI,Michigan,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,17.2
2003,MI,Michigan,,Hispanic,,Percent of students in grades 9-12 who have obesity,16.6
2003,MI,Michigan,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,MI,Michigan,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,MI,Michigan,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,11.3
2003,MN,Minnesota,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,MN,Minnesota,,9th,9th,Percent of students in grades 9-12 who have obesity,
